Al2O3_Bauxite;Fe2O3_Bauxite;T-SiO2_Bauxite;R-SiO2_Bauxite;TiO2_Bauxite;LOI_Bauxite;THA_Bauxite;Average_MC_RM;F-NaOH_Spend_Liquor;A/C_Spend_Liquor;SC_Spend_Liquor;F-NaOH_SLE_Outlet;A/C_SLE_Outlet;F-NaOH_BDH-P-102;A/C_BDH-P-102;F-NaOH_BOS;A/C_BOS;SiO2_BOS;SC_BOS;F-NaOH_PFS_Filtrate;A/C_PFS_Filtrate;F-NaOH_Pregnant_Liquor;A/C_Pregnant_Liquor;Na2CO3_Pregnant_Liquor;F/T-NaOH_Pregnant_Liquor
48.04;15.19;9.84;3.59;1.11;26.17;41.9202;13.89;150.3;0.469;19.7;176.6;0.466;155.8;0.463;149.2;0.85;0.521;14.55;141.5;0.798;151.4;0.814;37.7;81.28321798
50.0119;12.2427;6.4165;2.3787;1.1861;27.0359;45.630286;10.54;155.5;0.469;3.82;185.4;0.469;163.5;0.457;165.6;0.858;0.578;43.2;145.9;0.753;155.8;0.781;38.8;81.27599689
50.0119;12.2427;6.4165;2.3787;1.1861;27.0359;45.630286;7.14;156.9;0.459;3;184.3;0.446;156.9;0.456;153.6;0.839;0.65;39.7;145.9;0.753;153.6;0.752;38.3;81.25090985
49.3156;14.5485;7.0972;2.4573;1.2106;27.3036;44.504014;5.54;153.6;0.449;0.1;171.1;0.451;151.4;0.473;149.2;0.877;0.586;30.4;145.9;0.788;147;0.852;36.6;81.29134522
49.3156;14.5485;7.0972;2.4573;1.2106;27.3036;44.504014;12.565;151.9;0.469;;176.6;0.457;154.7;0.446;151.4;0.837;0.678;45;149.2;0.747;153.6;0.776;38.3;81.25311238
49.3156;14.5485;7.0972;2.4573;1.2106;27.3036;44.504014;17.07;147;0.466;5.55;182.1;0.469;150.3;0.456;154.7;0.836;0.724;31.5;144.8;0.805;153.6;0.802;38.3;81.25549787
50.03345;13.15795;9.00035;2.59845;1.10505;27.0018;45.279416;8.925;164.5;0.426;2.25;159;0.485;150.3;0.473;150.3;0.826;0.634;30.31;140.4;0.804;151.4;0.787;37.7;81.28070873
50.03345;13.15795;9.00035;2.59845;1.10505;27.0018;45.279416;13.145;164.5;0.426;6.1;181;0.474;152.5;0.479;149.2;0.822;0.37;53.92;141.5;0.816;153.6;0.809;38.3;81.25614002
50.03345;13.15795;9.00035;2.59845;1.10505;27.0018;45.279416;15.68;144.8;0.484;6.43;;;152.5;0.469;154.7;0.816;0.388;34.4;139.3;0.814;150.3;0.809;37.4;81.296351
49.043875;14.4433;11.61595;3.427175;1.032975;26.479625;43.21030275;12.11;155.2;0.476;3.18;191.4;0.414;154.7;0.463;154.7;0.793;0.657;40;146.4;0.764;147.4;0.804;36.7;81.28633687
49.043875;14.4433;11.61595;3.427175;1.032975;26.479625;43.21030275;11.465;159;0.437;3.73;167.3;0.477;158.5;0.432;151.9;0.812;0.624;42.9;137.1;0.813;147.5;0.786;36.8;81.24629552
49.043875;14.4433;11.61595;3.427175;1.032975;26.479625;43.21030275;7.985;144.8;0.494;5.7;175.5;0.443;152.5;0.463;159;0.806;0.693;47.1;142.6;0.763;151.4;0.807;37.7;81.2825675
49;14.4433;11.61595;3.427175;1.032975;26.479625;43.16642775;5.615;159;0.427;3.7;171.1;0.478;155.8;0.456;156.9;0.821;0.683;17.2;148.1;0.846;150.3;0.803;37.4;81.29578977
49;14.4433;11.61595;3.427175;1.032975;26.479625;43.16642775;13.495;159;0.479;12.75;168.9;0.46;152.5;0.446;152.5;0.804;0.578;29.76;141.5;0.78;147;0.796;36.6;81.28598828
49;14.4433;11.61595;3.427175;1.032975;26.479625;43.16642775;13.03;149.2;0.425;16.88;171.1;0.472;153.6;0.433;155.8;0.828;0.639;30.71;144.8;0.776;147;0.81;36.6;81.28732781
